[06-Mar-2026 09:59:33] NOTICE: fpm is running, pid 19
[06-Mar-2026 09:59:33] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:11:28:26 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:26 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:25 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:28:30 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:34 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:34 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:11:55:31 +0000 "GET /index.php" 200
[06-Mar-2026 12:15:56] NOTICE: fpm is running, pid 18
[06-Mar-2026 12:15:56] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "GET /index.php" 401
127.0.0.1 -  06/Mar/2026:12:19:07 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "GET /index.php" 401
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "GET /index.php" 401
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "GET /index.php" 401
127.0.0.1 -  06/Mar/2026:12:19:08 +0000 "GET /index.php" 401
127.0.0.1 -  06/Mar/2026:12:20:34 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:34 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:34 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:34 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:34 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:34 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:35 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:38 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:38 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:38 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:38 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:38 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:39 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:39 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:20:41 +0000 "OPTIONS /index.php" 200
